Account number,City long name,City short name,Country,Region,C40,Access,Reporting year,Source,Type,Amount,Units
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,Buildings,Steam,15249768000,Btus
54110,City of Santa Monica,Santa Monica,USA,North America,,Public,2017,Buildings,Electricity,18652126,kWh
54085,City of Savannah,Savannah,USA,North America,,Public,2017,Buildings,Electricity,23873559.4,kWh
58531,"City of Somerville, MA","Somerville, MA",USA,North America,,Public,2017,Buildings,Electricity,12681822,kWh
35393,City of St Louis,St Louis,USA,North America,,Public,2017,Buildings,Electricity,60000860.38,kWh
35393,City of St Louis,St Louis,USA,North America,,Public,2017,Buildings,Steam,93059810000,Btus
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,Buildings,Electricity,163517,GJ
50579,City of Winnipeg,Winnipeg,Canada,North America,,Public,2017,Buildings,Electricity,391693,GJ
52894,City of Winston-Salem,Winston-Salem,USA,North America,,Public,2017,Buildings,Electricity,113073315,kWh
55616,Los Altos Hills,Los Altos Hills,USA,North America,,Public,2017,Buildings,Electricity,67279,kWh
31177,Salt Lake City,Salt Lake City,USA,North America,,Public,2017,Buildings,Electricity,42905174,kWh
1184,City of Austin,Austin,USA,North America,C40,Public,2017,Buildings,Electricity,306584319,kWh
1184,City of Austin,Austin,USA,North America,C40,Public,2017,Buildings,Cooling,4578201,kWh
35268,City of Boston,Boston,USA,North America,C40,Public,2017,Buildings,Electricity,160899278,kWh
35268,City of Boston,Boston,USA,North America,C40,Public,2017,Buildings,Steam,469664,Therms
13067,City of New Orleans,New Orleans,USA,North America,C40,Public,2017,Buildings,Electricity,113082771,kWh
14874,"City of Portland, OR","Portland, OR",USA,North America,C40,Public,2017,Buildings,Electricity,102649898,kWh
20113,City of Vancouver,Vancouver,Canada,North America,C40,Public,2017,Buildings,Electricity,151388214,kWh
20113,City of Vancouver,Vancouver,Canada,North America,C40,Public,2017,Buildings,Steam,5034,Short tons
3417,New York City,New York City,USA,North America,C40,Public,2017,Buildings,Electricity,3295468753,kWh
3417,New York City,New York City,USA,North America,C40,Public,2017,Buildings,Steam,985296,Metric tonnes
59545,"City of Charlottesville, VA","Charlottesville, VA",USA,North America,,Public,2017,Buildings,Electricity,19951458,kWh
59545,"City of Charlottesville, VA","Charlottesville, VA",USA,North America,,Public,2017,Buildings,Other: Natural Gas,27965617999.99,Btus
59552,"City of Davis, CA","Davis, CA",USA,North America,,Public,2017,Buildings,Electricity,13213000,kWh
59552,"City of Davis, CA","Davis, CA",USA,North America,,Public,2017,Buildings,Heat,128000,Therms
59669,City of North Vancouver,North Vancouver,Canada,North America,,Public,2017,Buildings,Other: District energy,1327791,kWh
59669,City of North Vancouver,North Vancouver,Canada,North America,,Public,2017,Buildings,Electricity,9315542,kWh
59588,"Town of Chapel Hill, NC","Chapel Hill, NC",USA,North America,,Public,2017,Buildings,Electricity,10527799,kWh
59535,"Town of Vail, CO","Vail, CO",USA,North America,,Public,2017,Buildings,Electricity,4658843,kWh
31186,Changwon City,Changwon ,South Korea,East Asia,C40,Public,2017,Buildings,Electricity,24641594,kWh
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,C40,Public,2017,Buildings,Electricity,17511729,kWh
43932,Auckland Council,Auckland ,New Zealand,South Asia and Oceania,C40,Public,2017,Buildings,Electricity,59864663,kWh
43928,Canberra,Canberra,Australia,South Asia and Oceania,,Public,2017,Buildings,Electricity,113782089,kWh
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,,Public,2017,Buildings,Electricity,15872107,kWh
54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,South Asia and Oceania,C40,Public,2017,Buildings,Electricity,,kWh
53254,Hobart City Council,Hobart,Australia,South Asia and Oceania,,Public,2017,Buildings,Electricity,33432,GJ
31112,Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,,Public,2017,Buildings,Electricity,212966.85,MWh
57347,Pingtung County Government,Pingtung ,Taiwan,East Asia,,Public,2017,Buildings,Electricity,34871440,kWh
54395,Taoyuan City Government,Taoyuan,Taiwan,East Asia,,Public,2017,Buildings,Electricity,112624657.5,kWh
35872,Municipality of Recife,Recife,Brazil,Latin America,,Public,2017,Buildings,Electricity,445986000,kWh
50381,Municipio de Torreón,Torreón,Mexico,Latin America,,Public,2017,Buildings,Electricity,13017415,kWh
54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,,Public,2017,Buildings,Other:,,
60252,Prefeitura de Birigui,Birigui,Brazil,Latin America,,Public,2017,Buildings,Electricity,40000,kWh
42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,C40,Public,2017,Buildings,Electricity,5945,MWh
63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,,Public,2017,Buildings,Electricity,44328,MWh
60603,"City of Prince George, BC","Prince George, BC",Canada,North America,,Public,2017,Buildings,Heat,68902,GJ
60603,"City of Prince George, BC","Prince George, BC",Canada,North America,,Public,2017,Buildings,Electricity,34611603,kWh
60656,"City of Piedmont, CA","Piedmont, CA",USA,North America,,Public,2017,Buildings,Electricity,850467,kWh
58395,Bærum Kommune,Bærum,Norway,Europe,,Public,2017,Buildings,Electricity,64349256,kWh
58395,Bærum Kommune,Bærum,Norway,Europe,,Public,2017,Buildings,Heat,12,GWh
58395,Bærum Kommune,Bærum,Norway,Europe,,Public,2017,Buildings,Cooling,1.3,GWh
59163,City of Tirana,Tirana,Albania,Europe,,Public,2017,Buildings,Electricity,5925460,kWh
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Buildings,Electricity,1945846723,kWh
36494,Comune di Padova,Padova,Italy,Europe,,Public,2017,Buildings,Electricity,895434,MWh
55334,Município de Braga,Braga,Portugal,Europe,,Public,2017,Buildings,Electricity,28556,MWh
31173,Comune di Milano,Milano,Italy,Europe,C40,Public,2017,Buildings,Electricity,106383,MWh
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,Buildings,Electricity,24763,MWh
58668,"City of New Bedford, MA","New Bedford, MA",USA,North America,,Public,2017,Buildings,Electricity,40519173,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Buildings,Electricity,11374610,kWh
35877,City of Pittsburgh,Pittsburgh,USA,North America,,Public,2017,Buildings,Electricity,99198503,kWh
35877,City of Pittsburgh,Pittsburgh,USA,North America,,Public,2017,Buildings,Steam,10708,Therms
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,,Public,2017,Buildings,Electricity,477583901,kWh
3203,City of Chicago,Chicago,USA,North America,C40,Public,2017,Buildings,Electricity,2447849,MWh
3203,City of Chicago,Chicago,USA,North America,C40,Public,2017,Buildings,Heat,85053025,Therms
31108,City of Houston,Houston,USA,North America,C40,Public,2017,Buildings,Electricity,152319934,kWh
10894,City of Los Angeles,Los Angeles,USA,North America,C40,Public,2017,Buildings,Electricity,238656508,kWh
31182,City of San Francisco,San Francisco,USA,North America,C40,Public,2017,Buildings,Electricity,956673,MWh
31182,City of San Francisco,San Francisco,USA,North America,C40,Public,2017,Buildings,Heat,18079665,Therms
31182,City of San Francisco,San Francisco,USA,North America,C40,Public,2017,Buildings,Steam,75104152200,Btus
16581,City of Seattle,Seattle,USA,North America,C40,Public,2017,Buildings,Electricity,161120,MWh
16581,City of Seattle,Seattle,USA,North America,C40,Public,2017,Buildings,Steam,296,MWh
54348,The Local Government of Quezon City,Quezon ,Philippines,South Asia and Oceania,C40,Public,2017,Buildings,Electricity,15484471,kWh
64014,City of Cupertino,Cupertino,USA,North America,,Public,2017,Buildings,Electricity,2809853,kWh
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Buildings,Electricity,14705873,kWh
53959,"City of Fayetteville, AR","Fayetteville, AR",USA,North America,,Public,2017,Buildings,,8671,MWh
58871,"City of Salem, MA","Salem, MA",USA,North America,,Public,2017,Buildings,Electricity,10202280,kWh
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,,Public,2017,Buildings,Electricity,4216972,kWh
59633,"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,,Public,2017,Buildings,Electricity,12418838,kWh
55324,Município de Guimarães,Guimarães,Portugal,Europe,,Public,2017,Buildings,Electricity,24270,MWh
60273,Prefeitura de Extrema,Extrema,Brazil,Latin America,,Public,2017,Buildings,Electricity,3806.5,MWh
60126,Tartu City Council,Tartu,Estonia,Europe,,Public,2017,Buildings,Electricity,9406,MWh
60126,Tartu City Council,Tartu,Estonia,Europe,,Public,2017,Buildings,Heat,39021,MWh
60126,Tartu City Council,Tartu,Estonia,Europe,,Public,2017,Buses,Other:,14834,MWh
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,Public,2017,Electricity generation,Electricity,2652500,kWh
31167,City of Lagos,Lagos,Nigeria,Africa,C40,Public,2017,Electricity generation,Electricity,6088631408,kWh
58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,,Public,2017,Electricity generation,Electricity,189920,kWh
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,,Public,2017,Electricity generation,Electricity,84,GWh
60588,City of Alba-Iulia,Alba-Iulia,Romania,Europe,,Public,2017,Electricity generation,Electricity,1869,MWh
49360,Pretoria - Tshwane,Pretoria - Tshwane,South Africa,Africa,C40,Public,2017,Electricity generation,Electricity,5117740477,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Electricity generation,Electricity,419657,kWh
31166,Jakarta City Government,Jakarta ,Indonesia,South Asia and Oceania,C40,Public,2017,Electricity generation,Other: HSD/IDO,47327000,L
31166,Jakarta City Government,Jakarta ,Indonesia,South Asia and Oceania,C40,Public,2017,Electricity generation,Other: Natural Gas (in MMBTU),99877699,Metric tonnes
31166,Jakarta City Government,Jakarta ,Indonesia,South Asia and Oceania,C40,Public,2017,Electricity generation,Other: MFO,8991000,L
60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,,Public,2017,Electricity generation,Electricity,2322,MWh
60229,Municipality of Arendal,Arendal,Norway,Europe,,Public,2017,Electricity generation,Electricity,51631800,MWh
73240,Tuzla Municipality,Tuzla,Turkey,Europe,,Public,2017,Electricity generation,Electricity,2515100,kWh
59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,,Public,2017,Electricity transmission and distribution,Heat,33037,GJ
52897,City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,,Public,2017,Electricity transmission and distribution,Electricity,6986577,kWh
58867,City of Wisconsin Rapids,Wisconsin Rapids,USA,North America,,Public,2017,Electricity transmission and distribution,Electricity,1962446,kWh
60393,Municipalidad de Santiago,Santiago,Chile,Latin America,,Public,2017,Electricity transmission and distribution,Electricity,49350,MWh
36489,Comune di Olbia,Olbia,Italy,Europe,,Public,2017,Electricity transmission and distribution,Electricity,4086,MWh
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Electricity transmission and distribution,Electricity,17476249,kWh
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Electricity transmission and distribution,Electricity,71411,MWh
10894,City of Los Angeles,Los Angeles,USA,North America,C40,Public,2017,Landfills,Electricity,480732,kWh
58569,City of Podgorica,Podgorica,Montenegro,Europe,,Public,2017,Local trains,Electricity,22508,kWh
31185,City of Warsaw,Warsaw,Poland,Europe,C40,Public,2017,Local trains,Electricity,14782.18,MWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Local trains,Electricity,79366860.43,kWh
13067,City of New Orleans,New Orleans,USA,North America,C40,Public,2017,Local trains,,3916000,kWh
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Local trains,Electricity,62359222,kWh
31173,Comune di Milano,Milano,Italy,Europe,C40,Public,2017,Local trains,Electricity,68252,MWh
58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,,Public,2017,Municipal vehicle fleet,Electricity,20,MWh
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,Public,2017,Municipal vehicle fleet,Electricity,49794.72,kWh
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,Municipal vehicle fleet,Electricity,880855,kWh
35878,City of Sacramento,Sacramento,USA,North America,,Public,2017,Municipal vehicle fleet,Electricity,6734,kWh
60126,Tartu City Council,Tartu,Estonia,Europe,,Public,2017,Municipal vehicle fleet,Other:,15,MWh
50680,Cascais,Cascais,Portugal,Europe,,Public,2017,Other:,Electricity,565382,kWh
36036,City of Ibadan,Ibadan,Nigeria,Africa,,Public,2017,Other:,Other:,0,Metric tonnes
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,Other:,Electricity,425702,kWh
14344,"City of Park City, UT","Park City, UT",USA,North America,,Public,2017,Other:,Electricity,120751,kWh
31117,City of Toronto,Toronto,Canada,North America,C40,Public,2017,Other:,Electricity,1617024767,kWh
31117,City of Toronto,Toronto,Canada,North America,C40,Public,2017,Other:,Other: Natural Gas,132903638,m3 (cubic meters)
35883,City of San José,San José,USA,North America,,Public,2017,Other: 2016,Electricity,149898755,kWh
35883,City of San José,San José,USA,North America,,Public,2017,Other: 2016,Other: Natural Gas,5728169,Therms
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Other: Agricultura y silvicultura,Electricity,7459261,kWh
58531,"City of Somerville, MA","Somerville, MA",USA,North America,,Public,2017,Other: All Other Facilities,Electricity,419246,kWh
35863,City of Durban,Durban,South Africa,Africa,C40,Public,2017,Other: Buildings,Electricity,398003923,kWh
31150,Bangkok Metropolitan Administration,Bangkok ,Thailand,South Asia and Oceania,C40,Public,2017,Other: Commercial,Electricity,7875059166,kWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Other: Commercial and Public,Electricity,2555200,MWh
60416,Municipalidad de San Isidro (Argentina),San Isidro,Argentina,Latin America,,Public,2017,Other: Consumo de energía eléctrica,Electricity,865200936,kWh
31172,Mexico City,Mexico City,Mexico,Latin America,C40,Public,2017,Other: Consumption by On road transport,Electricity,40116,MWh
31172,Mexico City,Mexico City,Mexico,Latin America,C40,Public,2017,Other: Consumption by subway,Electricity,835840.64,MWh
31172,Mexico City,Mexico City,Mexico,Latin America,C40,Public,2017,Other: Consumption in Governments Facilities,Electricity,1173294.42,MWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Other: Domestic Consumption,Electricity,1207300,MWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Other: Domestic Consumption,Electricity,1207300,MWh
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,"Other: Facilities such as parks, Radio towers, AMRs, etc.",Electricity,5060444,kWh
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,,Public,2017,Other: Import of electricity,Electricity,219,GWh
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,,Public,2017,Other: Industri,Other: Electricity and heat,507,GWh
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Other: Industria,Electricity,1386955277,kWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Other: Industrial,Electricity,137000,MWh
31150,Bangkok Metropolitan Administration,Bangkok ,Thailand,South Asia and Oceania,C40,Public,2017,Other: Industrial,Electricity,15912792685,kWh
58513,City of Medford,Medford,USA,North America,,Public,2017,Other: open space & outdoor recreation  lighting,Electricity,160632,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Other: other processes and fugitive emissions,Electricity,1159,kWh
31150,Bangkok Metropolitan Administration,Bangkok ,Thailand,South Asia and Oceania,C40,Public,2017,Other: Others,Electricity,274764518,kWh
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,"Other: panels, clocks, other facilities",Electricity,214,MWh
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,Other: Park & Field Lighting,Electricity,2693,MWh
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,C40,Public,2017,Other: Parks,Electricity,1716022,kWh
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,Other: Process related energy use,Electricity,166,GWh
58513,City of Medford,Medford,USA,North America,,Public,2017,Other: pumping station,Electricity,30794,kWh
31150,Bangkok Metropolitan Administration,Bangkok ,Thailand,South Asia and Oceania,C40,Public,2017,Other: Residential,Electricity,8106149840,kWh
31173,Comune di Milano,Milano,Italy,Europe,C40,Public,2017,"Other: Subway, trams and trolley buses",Electricity,281000,MWh
31113,City of Yokohama,Yokohama,Japan,East Asia,C40,Public,2017,Other: Total,Electricity,836957053,kWh
49334,"City of Richmond, VA","Richmond, VA",USA,North America,,Public,2017,Other: Total City consumption,Electricity,190593221,kWh
36494,Comune di Padova,Padova,Italy,Europe,,Public,2017,Other: Total Transport,Electricity,902780,MWh
31185,City of Warsaw,Warsaw,Poland,Europe,C40,Public,2017,Other: Trams,Electricity,53713.7,MWh
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,Other: Tramway+People Mover,Electricity,5013,MWh
31150,Bangkok Metropolitan Administration,Bangkok ,Thailand,South Asia and Oceania,C40,Public,2017,Other: Transportation,Electricity,87968138,kWh
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,,Public,2017,Other: Transportation,Other: Transportation total,657,GWh
31109,City of Melbourne,Melbourne,Australia,South Asia and Oceania,C40,Public,2017,Other: Utility Bills,Electricity,11248366.87,kWh
50579,City of Winnipeg,Winnipeg,Canada,North America,,Public,2017,Other: Water and Wastewater,Electricity,398047,GJ
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Other: Water treatment,Electricity,190106004,kWh
55800,City of Cambridge,Cambridge,USA,North America,,Public,2017,Roads / highways,Electricity,6883994,kWh
46473,City of Zaragoza,Zaragoza,Spain,Europe,,Public,2017,Roads / highways,Electricity,10467348,kWh
63999,"City of Miami Beach, FL","Miami Beach, FL",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,8438928,kWh
61790,"City of Emeryville, CA","Emeryville, CA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,1180786,kWh
31052,City of Cardiff,Cardiff,United Kingdom,Europe,,Public,2017,Street lighting and traffic signals,Electricity,22172759,kWh
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,Street lighting and traffic signals,Electricity,51.09,GWh
58569,City of Podgorica,Podgorica,Montenegro,Europe,,Public,2017,Street lighting and traffic signals,Electricity,14297,kWh
36263,Comune di Ravenna,Ravenna,Italy,Europe,,Public,2017,Street lighting and traffic signals,Electricity,18198,MWh
59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,,Public,2017,Street lighting and traffic signals,Electricity,2366,MWh
58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,,Public,2017,Street lighting and traffic signals,Electricity,2500,MWh
50672,Santarém,Santarém,Portugal,Europe,,Public,2017,Street lighting and traffic signals,Electricity,9921,MWh
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,,Public,2017,Street lighting and traffic signals,Electricity,13006,MWh
31149,City of Athens,Athens,Greece,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,47865,MWh
35858,City of Cape Town,Cape Town,South Africa,Africa,C40,Public,2017,Street lighting and traffic signals,Electricity,97517436,kWh
14088,City of Oslo,Oslo,Norway,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,30,GWh
31175,City of Paris,Paris,France,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,122.5,GWh
31185,City of Warsaw,Warsaw,Poland,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,26005,MWh
54102,City of Albany,Albany,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,11335097,kWh
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,11550,MWh
54104,City of Boulder,Boulder,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,4207987,kWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Street lighting and traffic signals,Electricity,82298121.26,kWh
55800,City of Cambridge,Cambridge,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,2179644,kWh
